State,Year,Candidate,Party,Total Votes,GDP,Personal Income,Total Employment,Average Sentiment Score
Alabama,2008,"McCain, John",Republican,1266546,174665,157780,2582600,
Alabama,2008,"Obama, Barack",Democrat,813479,174665,157780,2582600,
Alabama,2012,"Romney, Mitt",Republican,1255925,188280,172101,2503656,
Alabama,2012,"Obama, Barack",Democrat,795696,188280,172101,2503656,
Alabama,2016,Bernie Sanders,Democrat,544,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,2387,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,2694,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,5290,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,222,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,2567,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,246,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,942,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,395,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,564,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,178,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,2451,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,156,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,2196,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,1425,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,5011,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,312,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,2899,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,268,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,712,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,289,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,860,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,273,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,1772,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,213,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,3148,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,135,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,807,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,72,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,221,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,389,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,1493,208824,190871,2619761,0.3640820575295926
Alabama,2016,Bernie Sanders,Democrat,1342,208824,190871,2619761,0.3640820575295926
Alabama,2016,Hillary Clinton,Democrat,3879,208824,190871,2619761,0.3640820575295926
