State,Population Value,Gender,Year,18-20,65-74,75-84,55-59,60-64,,20-24,25-34,45-54,35-44
 Alabama,47,M,2008,1,0,0,0,0,0,0,0,0,0
 New Jersey,6,,2008,0,1,0,0,0,0,0,0,0,0
 New Mexico,7,,2008,0,1,0,0,0,0,0,0,0,0
 New York,6,,2008,0,1,0,0,0,0,0,0,0,0
 North Carolina,6,,2008,0,1,0,0,0,0,0,0,0,0
 North Dakota,6,,2008,0,1,0,0,0,0,0,0,0,0
 Ohio,7,,2008,0,1,0,0,0,0,0,0,0,0
 Oklahoma,7,,2008,0,1,0,0,0,0,0,0,0,0
 Oregon,6,,2008,0,1,0,0,0,0,0,0,0,0
 Pennsylvania,7,,2008,0,1,0,0,0,0,0,0,0,0
 Puerto Rico,7,,2008,0,1,0,0,0,0,0,0,0,0
 Rhode Island,6,,2008,0,1,0,0,0,0,0,0,0,0
 South Carolina,7,,2008,0,1,0,0,0,0,0,0,0,0
 South Dakota,6,,2008,0,1,0,0,0,0,0,0,0,0
 Tennessee,7,,2008,0,1,0,0,0,0,0,0,0,0
 Texas,5,,2008,0,1,0,0,0,0,0,0,0,0
 Utah,4,,2008,0,1,0,0,0,0,0,0,0,0
 Vermont,7,,2008,0,1,0,0,0,0,0,0,0,0
 New Hampshire,6,,2008,0,1,0,0,0,0,0,0,0,0
 Virginia,6,,2008,0,1,0,0,0,0,0,0,0,0
 Nevada,6,,2008,0,1,0,0,0,0,0,0,0,0
 Montana,7,,2008,0,1,0,0,0,0,0,0,0,0
 Florida,8,,2008,0,1,0,0,0,0,0,0,0,0
 Georgia,5,,2008,0,1,0,0,0,0,0,0,0,0
 Hawaii,6,,2008,0,1,0,0,0,0,0,0,0,0
 Idaho,6,,2008,0,1,0,0,0,0,0,0,0,0
 Illinois,6,,2008,0,1,0,0,0,0,0,0,0,0
 Indiana,6,,2008,0,1,0,0,0,0,0,0,0,0
 Iowa,7,,2008,0,1,0,0,0,0,0,0,0,0
 Kansas,6,,2008,0,1,0,0,0,0,0,0,0,0
 Kentucky,7,,2008,0,1,0,0,0,0,0,0,0,0
 Louisiana,6,,2008,0,1,0,0,0,0,0,0,0,0
 Maine,7,,2008,0,1,0,0,0,0,0,0,0,0
 Maryland,6,,2008,0,1,0,0,0,0,0,0,0,0
 Massachusetts,6,,2008,0,1,0,0,0,0,0,0,0,0
 Michigan,6,,2008,0,1,0,0,0,0,0,0,0,0
 Minnesota,6,,2008,0,1,0,0,0,0,0,0,0,0
 Mississippi,6,,2008,0,1,0,0,0,0,0,0,0,0
 Missouri,7,,2008,0,1,0,0,0,0,0,0,0,0
 Nebraska,6,,2008,0,1,0,0,0,0,0,0,0,0
 District of Columbia,6,,2008,0,1,0,0,0,0,0,0,0,0
 Washington,6,,2008,0,1,0,0,0,0,0,0,0,0
 Wisconsin,6,,2008,0,1,0,0,0,0,0,0,0,0
 Maryland,3,,2008,0,0,1,0,0,0,0,0,0,0
 Massachusetts,4,,2008,0,0,1,0,0,0,0,0,0,0
 Michigan,4,,2008,0,0,1,0,0,0,0,0,0,0
 Minnesota,4,,2008,0,0,1,0,0,0,0,0,0,0
 Mississippi,4,,2008,0,0,1,0,0,0,0,0,0,0
 Missouri,4,,2008,0,0,1,0,0,0,0,0,0,0
 Montana,4,,2008,0,0,1,0,0,0,0,0,0,0
 Nebraska,4,,2008,0,0,1,0,0,0,0,0,0,0
 Nevada,3,,2008,0,0,1,0,0,0,0,0,0,0
 New Hampshire,4,,2008,0,0,1,0,0,0,0,0,0,0
 New Jersey,4,,2008,0,0,1,0,0,0,0,0,0,0
 New Mexico,4,,2008,0,0,1,0,0,0,0,0,0,0
 New York,4,,2008,0,0,1,0,0,0,0,0,0,0
 North Carolina,4,,2008,0,0,1,0,0,0,0,0,0,0
 North Dakota,5,,2008,0,0,1,0,0,0,0,0,0,0
 Ohio,4,,2008,0,0,1,0,0,0,0,0,0,0
 Oklahoma,4,,2008,0,0,1,0,0,0,0,0,0,0
 Maine,5,,2008,0,0,1,0,0,0,0,0,0,0
 West Virginia,8,,2008,0,1,0,0,0,0,0,0,0,0
 Louisiana,4,,2008,0,0,1,0,0,0,0,0,0,0
 Kansas,4,,2008,0,0,1,0,0,0,0,0,0,0
 Wyoming,6,,2008,0,1,0,0,0,0,0,0,0,0
 Alabama,4,,2008,0,0,1,0,0,0,0,0,0,0
 Alaska,2,,2008,0,0,1,0,0,0,0,0,0,0
 Arizona,4,,2008,0,0,1,0,0,0,0,0,0,0
 Arkansas,4,,2008,0,0,1,0,0,0,0,0,0,0
 California,3,,2008,0,0,1,0,0,0,0,0,0,0
