state,white,black_or_african_american,american_indian_and_alaska_native,asian,native_hawaiian_and_other_pacific-islander,hispanic_or_latino_any_race
 Alabama,69.5,27.0,0.5,1.0,0.0,2.8
 Alaska,69.1,3.6,12.7,4.6,0.5,6.2
 Arizona,80.0,3.7,4.5,2.4,0.1,30.3
 Arkansas,78.4,16.0,0.5,1.0,0.1,5.3
 California,62.0,6.2,0.8,12.6,0.4,36.8
 Colorado,84.5,3.9,1.0,2.5,0.1,20.6
 Connecticut,80.1,9.5,0.2,3.5,0.0,12.0
 Delaware,72.7,20.6,0.3,2.9,0.0,6.8
 District of Columbia,37.5,53.4,0.4,3.4,0.1,8.6
 Florida,76.9,16.0,0.3,2.3,0.0,21.3
 Georgia,61.1,31.0,0.2,2.7,0.0,7.8
 Hawaii,27.0,2.4,0.2,38.6,9.0,8.7
 Idaho,92.7,0.5,1.1,1.2,0.1,10.3
 Illinois,71.9,15.3,0.2,4.3,0.0,15.4
 Indiana,85.4,8.9,0.2,1.3,0.0,5.2
 Iowa,92.7,2.5,0.3,1.5,0.0,4.1
 Kansas,86.5,5.5,0.7,2.1,0.1,9.1
 Kentucky,89.0,7.5,0.2,1.0,0.1,2.3
 Louisiana,62.8,33.0,0.6,1.5,0.0,3.5
 Maine,95.9,1.0,0.5,0.8,0.0,1.0
 Maryland,60.7,29.3,0.3,5.1,0.0,6.6
 Massachusetts,82.6,6.3,0.2,5.0,0.0,8.5
 Michigan,78.5,15.0,0.5,2.3,0.0,4.2
 Minnesota,87.9,4.6,1.1,3.5,0.0,4.2
 Mississippi,59.0,38.3,0.4,0.8,0.0,2.0
 Missouri,83.5,11.8,0.3,1.4,0.1,3.2
 Montana,89.6,0.5,6.1,0.7,0.1,2.8
 Nebraska,89.1,3.8,0.7,1.5,0.0,7.9
 Nevada,77.4,7.4,1.4,5.9,0.5,25.9
 New Hampshire,94.8,1.0,0.2,2.0,0.0,2.6
 New Jersey,70.4,13.9,0.2,7.7,0.0,16.6
 New Mexico,73.5,2.3,9.2,1.3,0.0,44.9
 New York,67.3,15.9,0.4,6.9,0.0,16.5
 North Carolina,70.2,21.5,1.1,1.8,0.0,7.3
 North Dakota,91.0,1.0,5.3,0.8,0.0,2.0
 Ohio,83.8,12.1,0.2,1.5,0.0,2.6
 Oklahoma,75.8,7.1,6.5,1.7,0.1,7.6
 Oregon,86.8,1.7,1.7,3.4,0.3,10.9
 Pennsylvania,83.2,10.9,0.1,2.4,0.0,4.7
 Puerto Rico,75.7,7.2,0.2,0.4,0.0,99.0
 Rhode Island,83.2,5.5,0.5,2.9,0.1,11.6
 South Carolina,67.2,28.5,0.3,1.1,0.0,4.0
 South Dakota,87.1,0.9,8.2,0.8,0.0,2.4
 Tennessee,78.5,17.3,0.3,1.3,0.0,3.6
 Texas,73.7,11.6,0.5,3.4,0.1,37.1
 Utah,91.0,1.1,1.1,2.0,0.7,11.9
 Vermont,95.9,0.7,0.2,1.2,0.0,1.2
 Virginia,70.8,19.8,0.3,4.7,0.0,6.7
 Washington,80.3,3.4,1.4,6.5,0.4,9.8
 West Virginia,94.4,3.4,0.2,0.5,0.0,1.1
 Wisconsin,88.2,6.0,0.9,2.0,0.0,5.1
 Wyoming,91.9,1.1,2.0,0.7,0.0,7.7
