State Country,Candidate,Party,Total Votes,Percent,Election Year,Gross domestic product (GDP),Personal income,Total employment (number of jobs)
Alabama,"McCain, John",Republican,1266546,60,2008,174665,157780,2582600
Alabama,"Obama, Barack",Democrat,795696,38,2012,188280,172101,2503656
Alabama,"Obama, Barack",Democrat,813479,38,2008,174665,157780,2582600
Alabama,"Romney, Mitt",Republican,1255925,60,2012,188280,172101,2503656
Alaska,"McCain, John",Republican,193841,59,2008,55246,32860,443602
Alaska,"Obama, Barack",Democrat,122640,40,2012,58320,38997,459282
Alaska,"Obama, Barack",Democrat,123594,37,2008,55246,32860,443602
Alaska,"Romney, Mitt",Republican,164676,54,2012,58320,38997,459282
Arizona,"McCain, John",Republican,1230111,53,2008,261005,223495,3402806
Arizona,"Obama, Barack",Democrat,1025232,44,2012,272703,236431,3295532
Arizona,"Obama, Barack",Democrat,1034707,45,2008,261005,223495,3402806
Arizona,"Romney, Mitt",Republican,1233654,53,2012,272703,236431,3295532
Arkansas,"McCain, John",Republican,638017,58,2008,100206,92435,1579250
Arkansas,"Obama, Barack",Democrat,394409,36,2012,108836,107007,1565109
Arkansas,"Obama, Barack",Democrat,422310,38,2008,100206,92435,1579250
Arkansas,"Romney, Mitt",Republican,647744,60,2012,108836,107007,1565109
California,"McCain, John",Republican,5011781,36,2008,1946241,1588294,20654365
California,"Obama, Barack",Democrat,7854285,60,2012,2108873,1814763,20666919
California,"Obama, Barack",Democrat,8274473,61,2008,1946241,1588294,20654365
California,"Romney, Mitt",Republican,4839958,37,2012,2108873,1814763,20666919
Colorado,"McCain, John",Republican,1073629,44,2008,257606,210065,3251120
Colorado,"Obama, Barack",Democrat,1288633,53,2008,257606,210065,3251120
Colorado,"Obama, Barack",Democrat,1323102,51,2012,274738,236033,3262912
Colorado,"Romney, Mitt",Republican,1185243,46,2012,274738,236033,3262912
Connecticut,"McCain, John",Republican,629428,38,2008,236110,214658,2256077
Connecticut,"Obama, Barack",Democrat,905083,58,2012,239907,229133,2223243
Connecticut,"Obama, Barack",Democrat,997772,60,2008,236110,214658,2256077
Connecticut,"Romney, Mitt",Republican,634892,40,2012,239907,229133,2223243
Delaware,"McCain, John",Republican,152374,36,2008,55250,36462,544865
Delaware,"Obama, Barack",Democrat,242584,58,2012,62342,40122,534253
Delaware,"Obama, Barack",Democrat,255459,61,2008,55250,36462,544865
Delaware,"Romney, Mitt",Republican,165484,39,2012,62342,40122,534253
District of Columbia,"McCain, John",Republican,17367,6,2008,99240,35167,794904
District of Columbia,"Obama, Barack",Democrat,245800,92,2008,99240,35167,794904
District of Columbia,"Obama, Barack",Democrat,267070,90,2012,112512,42582,834391
District of Columbia,"Romney, Mitt",Republican,21381,7,2012,112512,42582,834391
Florida,"McCain, John",Republican,4045624,48,2008,767357,725995,10269510
Florida,"Obama, Barack",Democrat,4237756,50,2012,784545,794071,10249034
Florida,"Obama, Barack",Democrat,4282074,51,2008,767357,725995,10269510
Florida,"Romney, Mitt",Republican,4163447,49,2012,784545,794071,10249034
Georgia,"McCain, John",Republican,2048759,52,2008,416303,335257,5451004
Georgia,"Obama, Barack",Democrat,1773827,45,2012,449375,369040,5384734
Georgia,"Obama, Barack",Democrat,1844123,46,2008,416303,335257,5451004
Georgia,"Romney, Mitt",Republican,2078688,53,2012,449375,369040,5384734
Hawaii,"McCain, John",Republican,120566,26,2008,65545,55802,858384
Hawaii,"Obama, Barack",Democrat,306658,70,2012,71645,61161,849130
Hawaii,"Obama, Barack",Democrat,325871,71,2008,65545,55802,858384
Hawaii,"Romney, Mitt",Republican,121015,27,2012,71645,61161,849130
Idaho,"McCain, John",Republican,403012,61,2008,56203,50157,921093
Idaho,"Obama, Barack",Democrat,212787,32,2012,57933,55719,883162
Idaho,"Obama, Barack",Democrat,236440,36,2008,56203,50157,921093
Idaho,"Romney, Mitt",Republican,420911,64,2012,57933,55719,883162
Illinois,"McCain, John",Republican,2031179,36,2008,649677,551159,7553123
Illinois,"Obama, Barack",Democrat,3019512,57,2012,725478,593814,7434721
Illinois,"Obama, Barack",Democrat,3419348,61,2008,649677,551159,7553123
Illinois,"Romney, Mitt",Republican,2135216,40,2012,725478,593814,7434721
Indiana,"McCain, John",Republican,1345648,48,2008,277774,226602,3682921
Indiana,"Obama, Barack",Democrat,1152887,43,2012,301277,256284,3642274
Indiana,"Obama, Barack",Democrat,1374039,49,2008,277774,226602,3682921
Indiana,"Romney, Mitt",Republican,1420543,54,2012,301277,256284,3642274
Iowa,"McCain, John",Republican,682379,44,2008,137749,116112,1997583
Iowa,"Obama, Barack",Democrat,822544,51,2012,158553,131137,1993406
Iowa,"Obama, Barack",Democrat,828940,53,2008,137749,116112,1997583
Iowa,"Romney, Mitt",Republican,730617,46,2012,158553,131137,1993406
Kansas,"McCain, John",Republican,699655,56,2008,129223,115298,1858080
Kansas,"Obama, Barack",Democrat,440726,37,2012,141812,129849,1841411
Kansas,"Obama, Barack",Democrat,514765,41,2008,129223,115298,1858080
Kansas,"Romney, Mitt",Republican,692634,59,2012,141812,129849,1841411
Kentucky,"McCain, John",Republican,1048462,57,2008,160700,140837,2402305
Kentucky,"Obama, Barack",Democrat,679370,37,2012,178370,156564,2389067
Kentucky,"Obama, Barack",Democrat,751985,41,2008,160700,140837,2402305
Kentucky,"Romney, Mitt",Republican,1087190,60,2012,178370,156564,2389067
Louisiana,"McCain, John",Republican,1148275,58,2008,213803,170008,2550824
Louisiana,"Obama, Barack",Democrat,782989,39,2008,213803,170008,2550824
Louisiana,"Obama, Barack",Democrat,809141,40,2012,235960,187190,2601173
Louisiana,"Romney, Mitt",Republican,1152262,57,2012,235960,187190,2601173
