"State","Candidate","Party","Total Votes","GDP","Personal Income","Total Employment","Average Sentiment Score","White","African American","Native Peoples","Asian","Pacific Islanders","Latin","Population Value","Gender","18-20","20-24","25-34","35-44","45-54","55-59","60-64","65-74","75-84"
"Alabama","McCain, John","Republican","1266546","174665","157780","2582600",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Alabama","Obama, Barack","Democrat","813479","174665","157780","2582600",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Alaska","Obama, Barack","Democrat","123594","55246","32860","443602",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Alaska","McCain, John","Republican","193841","55246","32860","443602",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arizona","McCain, John","Republican","1230111","261005","223495","3402806",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arizona","Obama, Barack","Democrat","1034707","261005","223495","3402806",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arkansas","McCain, John","Republican","638017","100206","92435","1579250",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Arkansas","Obama, Barack","Democrat","422310","100206","92435","1579250",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"California","Obama, Barack","Democrat","8274473","1946241","1588294","20654365",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"California","McCain, John","Republican","5011781","1946241","1588294","20654365",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
