state,candidate,total_votes,party,Election Year
Alabama,"McCain, John","1,266,546",Republican,2008
Alabama,"Obama, Barack","813,479",Democrat,2008
Alaska,"McCain, John","193,841",Republican,2008
Alaska,"Obama, Barack","123,594",Democrat,2008
Arizona,"McCain, John","1,230,111",Republican,2008
Arizona,"Obama, Barack","1,034,707",Democrat,2008
Arkansas,"McCain, John","638,017",Republican,2008
Arkansas,"Obama, Barack","422,310",Democrat,2008
California,"Obama, Barack","8,274,473",Democrat,2008
California,"McCain, John","5,011,781",Republican,2008
Colorado,"Obama, Barack","1,288,633",Democrat,2008
Colorado,"McCain, John","1,073,629",Republican,2008
Connecticut,"Obama, Barack","997,772",Democrat,2008
Connecticut,"McCain, John","629,428",Republican,2008
Delaware,"Obama, Barack","255,459",Democrat,2008
Delaware,"McCain, John","152,374",Republican,2008
District of Columbia,"Obama, Barack","245,800",Democrat,2008
District of Columbia,"McCain, John","17,367",Republican,2008
Florida,"Obama, Barack","4,282,074",Democrat,2008
Florida,"McCain, John","4,045,624",Republican,2008
Georgia,"McCain, John","2,048,759",Republican,2008
Georgia,"Obama, Barack","1,844,123",Democrat,2008
Hawaii,"Obama, Barack","325,871",Democrat,2008
Hawaii,"McCain, John","120,566",Republican,2008
Idaho,"McCain, John","403,012",Republican,2008
Idaho,"Obama, Barack","236,440",Democrat,2008
Illinois,"Obama, Barack","3,419,348",Democrat,2008
Illinois,"McCain, John","2,031,179",Republican,2008
Indiana,"Obama, Barack","1,374,039",Democrat,2008
Indiana,"McCain, John","1,345,648",Republican,2008
Iowa,"Obama, Barack","828,940",Democrat,2008
Iowa,"McCain, John","682,379",Republican,2008
Kansas,"McCain, John","699,655",Republican,2008
Kansas,"Obama, Barack","514,765",Democrat,2008
Kentucky,"McCain, John","1,048,462",Republican,2008
Kentucky,"Obama, Barack","751,985",Democrat,2008
Louisiana,"McCain, John","1,148,275",Republican,2008
Louisiana,"Obama, Barack","782,989",Democrat,2008
Maine,"Obama, Barack","421,923",Democrat,2008
Maine,"McCain, John","295,273",Republican,2008
Maryland,"Obama, Barack","1,629,467",Democrat,2008
Maryland,"McCain, John","959,862",Republican,2008
Massachusetts,"Obama, Barack","1,904,097",Democrat,2008
Massachusetts,"McCain, John","1,108,854",Republican,2008
Michigan,"Obama, Barack","2,872,579",Democrat,2008
Michigan,"McCain, John","2,048,639",Republican,2008
Minnesota,"McCain, John","1,275,409",Republican,2008
Mississippi,"McCain, John","724,597",Republican,2008
Mississippi,"Obama, Barack","554,662",Democrat,2008
Missouri,"McCain, John","1,445,814",Republican,2008
Missouri,"Obama, Barack","1,441,911",Democrat,2008
Montana,"McCain, John","242,763",Republican,2008
Montana,"Obama, Barack","231,667",Democrat,2008
Nebraska,"McCain, John","452,979",Republican,2008
Nebraska,"Obama, Barack","333,319",Democrat,2008
Nevada,"Obama, Barack","533,736",Democrat,2008
Nevada,"McCain, John","412,827",Republican,2008
New Hampshire,"Obama, Barack","384,826",Democrat,2008
New Hampshire,"McCain, John","316,534",Republican,2008
New Jersey,"Obama, Barack","2,215,422",Democrat,2008
New Jersey,"McCain, John","1,613,207",Republican,2008
New Mexico,"Obama, Barack","472,422",Democrat,2008
New Mexico,"McCain, John","346,832",Republican,2008
